"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"OGNRPON","197506","1507","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197507","1508","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197508","1533","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197509","1586","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197510","1604","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197511","1644","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197512","1677","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197513","1554","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197601","1588","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197602","1468","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197603","1408","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197604","1356","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197605","1375","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197606","1426","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197607","1465","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197608","1563","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197609","1618","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197610","1666","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197611","1703","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197612","1716","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197613","1529","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197701","1704","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
