"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAEWPUS","194913","1406","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195013","1583","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195113","1763","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195213","1776","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195313","1981","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195413","1985","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195513","2236","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195613","2267","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195713","1945","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195813","1745","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","195913","1702","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196013","1321","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196113","1157","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196213","1211","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196313","1314","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196413","1219","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196513","946","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196613","1196","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196713","986","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196813","954","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","196913","1084","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197013","757","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197113","659","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197213","685","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197301","58","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197302","52","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
"PAEWPUS","197303","53","1","Wells Drilled, Exploratory, Crude Oil","Number of Wells"
